feature,gain
tfidf_3941,1820.39453125
tfidf_3637,1577.547119140625
tfidf_4751,857.12158203125
tfidf_2292,841.8562622070312
tfidf_4896,352.4745178222656
tfidf_673,212.20606994628906
tfidf_3919,127.89822387695312
tfidf_1437,111.71786499023438
tfidf_4306,110.97875213623047
path_length,103.81095123291016
tfidf_3635,101.7870101928711
tfidf_3636,91.32220458984375
tfidf_165,69.84581756591797
tfidf_4343,42.373695373535156
tfidf_3007,41.2958984375
tfidf_3275,31.8076171875
tfidf_1197,31.208984375
tfidf_405,30.3985595703125
tfidf_672,23.4388427734375
tfidf_196,23.18017578125
tfidf_406,22.418067932128906
tfidf_4256,20.59033203125
tfidf_525,20.39789581298828
tfidf_4660,17.81717300415039
tfidf_407,17.330078125
tfidf_545,13.61328125
tfidf_310,13.6025390625
visual_625,13.556255340576172
visual_1108,13.320207595825195
tfidf_4287,13.259681701660156
